2023-05-17 19:09:24.486 [main] INFO  c.e.Demo20230327SpringbootActivemqApplication - Starting Demo20230327SpringbootActivemqApplication using Java 1.8.0_202 on liusuyi with PID 10116 (Y:\java\demo20230327-springboot-activemq\target\classes started by 刘苏义 in Y:\java\demo20230327-springboot-activemq)
2023-05-17 19:09:24.502 [main] INFO  c.e.Demo20230327SpringbootActivemqApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-17 19:09:25.309 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-17 19:09:25.325 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-17 19:09:25.325 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-17 19:09:25.325 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.73]
2023-05-17 19:09:25.453 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-17 19:09:25.453 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 904 ms
2023-05-17 19:10:50.333 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-05-17 19:10:50.356 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-17 19:10:55.468 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-17 19:10:55.469 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-17 19:10:55.469 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2023-05-17 19:11:11.487 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8080"]
2023-05-17 19:11:11.487 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-05-17 19:11:11.488 [main] INFO  org.apache.catalina.core.StandardWrapper - Waiting for [1] instance(s) to be deallocated for Servlet [dispatcherServlet]
2023-05-17 19:11:12.605 [main] INFO  org.apache.catalina.core.StandardWrapper - Waiting for [1] instance(s) to be deallocated for Servlet [dispatcherServlet]
2023-05-17 19:11:13.722 [main] INFO  org.apache.catalina.core.StandardWrapper - Waiting for [1] instance(s) to be deallocated for Servlet [dispatcherServlet]
2023-05-17 19:11:13.832 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Destroying Spring FrameworkServlet 'dispatcherServlet'
2023-05-17 19:11:13.842 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"]
2023-05-17 19:11:16.588 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Destroying ProtocolHandler ["http-nio-8080"]
2023-05-17 19:11:16.593 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2023-05-17 19:13:33.139 [main] INFO  c.e.Demo20230327SpringbootActivemqApplication - Starting Demo20230327SpringbootActivemqApplication using Java 1.8.0_202 on liusuyi with PID 12660 (Y:\java\demo20230327-springboot-activemq\target\classes started by 刘苏义 in Y:\java\demo20230327-springboot-activemq)
2023-05-17 19:13:33.139 [main] INFO  c.e.Demo20230327SpringbootActivemqApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-17 19:13:34.029 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-17 19:13:34.029 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-17 19:13:34.029 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-17 19:13:34.029 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.73]
2023-05-17 19:13:34.150 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-17 19:13:34.150 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 949 ms
2023-05-17 19:13:34.840 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-05-17 19:13:34.861 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-17 19:13:34.877 [main] INFO  c.e.Demo20230327SpringbootActivemqApplication - Started Demo20230327SpringbootActivemqApplication in 2.231 seconds (JVM running for 3.301)
2023-05-17 19:13:37.669 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-17 19:13:37.669 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-17 19:13:37.669 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2023-05-17 19:13:41.650 [MqttExecutor-1] INFO  com.example.mq.QueueConsumerListener - queue接受到：liusuyi
2023-05-17 19:37:37.890 [main] INFO  c.e.Demo20230327SpringbootActivemqApplication - Starting Demo20230327SpringbootActivemqApplication using Java 1.8.0_202 on liusuyi with PID 10764 (Y:\java\demo20230327-springboot-activemq\target\classes started by 刘苏义 in Y:\java\demo20230327-springboot-activemq)
2023-05-17 19:37:37.890 [main] INFO  c.e.Demo20230327SpringbootActivemqApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-17 19:37:38.745 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-17 19:37:38.752 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-17 19:37:38.753 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-17 19:37:38.753 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.73]
2023-05-17 19:37:38.860 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-17 19:37:38.860 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 939 ms
2023-05-17 19:37:39.536 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-05-17 19:37:39.558 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-17 19:37:39.558 [main] INFO  c.e.Demo20230327SpringbootActivemqApplication - Started Demo20230327SpringbootActivemqApplication in 2.105 seconds (JVM running for 3.258)
2023-05-17 19:37:44.844 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：49
2023-05-17 19:37:45.851 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：49
2023-05-17 19:37:46.652 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：49
2023-05-17 19:37:54.436 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：108,105,117,115,117,121,105
2023-05-17 19:38:22.751 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：108,105,117,115,117,121,105
2023-05-17 19:38:34.659 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：13,10,123,13,10,32,32,34,105,100,34,58,32,34,50,50,50,34,44,34,97,108,97,114,109,83,111,117,114,99,101,34,58,34,53,49,49,34,44,34,97,108,97,114,109,84,105,109,101,34,58,34,49,54,56,52,50,51,53,50,53,55,34,44,34,97,108,97,114,109,84,121,112,101,34,58,34,-23,-104,-78,-25,-127,-85,34,44,34,116,111,119,101,114,73,100,34,58,34,53,34,44,34,114,101,103,105,111,110,73,100,34,58,34,49,34,44,34,116,97,114,103,101,116,67,111,117,110,116,34,58,34,52,34,44,34,97,108,97,114,109,65,114,101,97,73,100,34,58,34,54,57,50,34,44,34,97,114,101,97,34,58,34,48,34,44,34,97,122,105,109,117,116,104,34,58,34,49,49,53,57,55,34,44,34,99,117,114,114,101,110,116,84,105,109,101,34,58,34,49,54,53,48,52,49,53,51,55,50,48,48,48,34,44,34,100,105,115,116,97,110,99,101,34,58,34,52,55,51,54,34,44,34,102,111,99,117,115,34,58,34,51,57,54,34,44,34,103,114,97,121,83,117,109,34,58,34,48,34,44,34,104,101,105,103,104,116,34,58,34,49,49,48,34,44,34,119,105,100,116,104,34,58,34,49,48,34,44,34,105,110,102,114,97,114,101,100,65,122,105,109,117,116,104,34,58,34,49,49,54,49,50,34,44,34,105,110,102,114,97,114,101,100,70,111,99,117,115,34,58,34,51,54,53,50,34,44,34,105,110,102,114,97,114,101,100,80,105,116,99,104,34,58,34,49,49,50,34,44,34,108,111,110,103,105,116,117,100,101,34,58,34,49,50,53,46,48,48,57,49,52,54,52,53,53,48,55,50,54,52,34,44,34,108,97,116,105,116,117,100,101,34,58,34,52,53,46,53,55,48,53,56,56,48,53,49,52,50,54,56,55,52,34,44,34,112,105,116,99,104,34,58,34,56,50,34,44,34,115,112,101,101,100,88,34,58,34,48,34,44,34,115,112,101,101,100,89,34,58,34,48,34,44,34,115,116,97,116,117,115,34,58,34,48,34,44,34,116,97,114,103,101,116,73,100,34,58,34,50,54,56,52,54,48,54,54,50,34,44,34,116,114,97,106,73,110,100,101,120,34,58,34,45,49,34,44,34,122,111,110,101,71,114,111,117,112,73,100,34,58,34,50,34,44,34,122,111,110,101,73,100,34,58,34,49,48,34,44,34,122,111,110,101,78,97,109,101,34,58,34,-25,-127,-85,-26,-70,-112,49,50,34,44,34,122,111,111,109,34,58,34,49,50,51,48,34,44,34,109,97,107,101,34,58,34,-28,-72,-119,-27,-114,-126,34,13,10,125
2023-05-17 19:39:00.501 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-17 19:39:00.502 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-17 19:39:00.502 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2023-05-17 19:39:07.224 [MqttExecutor-1] INFO  com.example.mq.QueueConsumerListener - queue接受到：liusuyi
2023-05-17 19:39:09.714 [MqttExecutor-2] INFO  com.example.mq.QueueConsumerListener - queue接受到：liusuyi
2023-05-17 19:39:10.068 [MqttExecutor-3] INFO  com.example.mq.QueueConsumerListener - queue接受到：liusuyi
2023-05-17 19:40:00.916 [ActiveMQ Session Task-2] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：13,10,108,105,117,115,117,121,105
2023-05-17 19:40:08.582 [ActiveMQ Session Task-2] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：13,10,108,105,117,115,117,121,105
2023-05-17 19:40:16.265 [ActiveMQ Session Task-2] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：68,81,112,115,97,88,86,122,100,88,108,112
2023-05-17 19:40:21.976 [ActiveMQ Session Task-2] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：108,105,117,115,117,121,105
2023-05-17 19:41:21.712 [ActiveMQ Session Task-3] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:41:55.201 [ActiveMQ Session Task-4] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：108,105,117,115,117,121,105
2023-05-17 19:43:34.901 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic2接收的消息是：108,105,117,115,117,121,105
2023-05-17 19:43:50.524 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic2接收的消息是：108,105,117,115,117,121,105
2023-05-17 19:44:01.607 [ActiveMQ Session Task-1] INFO  com.example.mq.QueueConsumerListener - topic2接收的消息是：108,105,117,115,117,121,105,49,49,49,49
2023-05-17 19:44:13.123 [ActiveMQ Session Task-5] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:44:29.902 [ActiveMQ Session Task-5] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:44:30.663 [ActiveMQ Session Task-5] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:44:31.489 [ActiveMQ Session Task-5] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:52:19.402 [ActiveMQ Session Task-6] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:52:24.545 [ActiveMQ Session Task-6] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:52:25.332 [ActiveMQ Session Task-6] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:52:25.946 [ActiveMQ Session Task-6] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:52:26.868 [ActiveMQ Session Task-6] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:52:27.475 [ActiveMQ Session Task-6] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:52:30.521 [ActiveMQ Session Task-6] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:52:31.434 [ActiveMQ Session Task-6] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:52:32.273 [ActiveMQ Session Task-6] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:52:33.106 [ActiveMQ Session Task-6] INFO  com.example.mq.QueueConsumerListener - topic1接收的消息是：liusuyi
2023-05-17 19:52:59.423 [ActiveMQ Session Task-2] INFO  com.example.mq.QueueConsumerListener - topic2接收的消息是：liusuyi
2023-05-17 19:53:04.426 [ActiveMQ Session Task-2] INFO  com.example.mq.QueueConsumerListener - topic2接收的消息是：liusuyi
